Location,Season,Episode
New,1,1
York,1,1
Central,1,1
Park,1,1
Orlando,1,1
Brooklyn,1,1
Manhattan,1,1
Bridge,1,1
Morse,1,1
Orlando,1,1
Bangladesh,1,1
Brooklyn,1,1
Orlando,1,1
Disney,1,1
World,1,1
Columbus,1,2
Columbus,1,2
New,1,2
York,1,2
New,1,2
York,1,2
New,1,2
York,1,2
Japan,1,3
Central,1,3
Park,1,3
New,1,3
York,1,3
Detroit,1,3
Japan,1,3
Buffalo,1,3
Philadelphia,1,3
Philly,1,3
Philadelphia,1,3
Philly,1,3
Philly,1,3
Philadelphia,1,3
Manhattan,1,3
Philly,1,3
Philadelphia,1,3
Philly,1,3
Philly,1,3
Philly,1,3
Philadelphia,1,3
JFK,1,3
Airport,1,3
JFK,1,3
airport,1,3
Philadelphia,1,3
Philly,1,3
JFK,1,3
Airport,1,3
Philly,1,3
Philly,1,3
Philadelphia,1,3
Philly,1,3
Philly,1,3
City,1,4
Hall,1,4
Haden,1,4
LA,1,4
City,1,4
Hall,1,4
[,1,4
City,1,4
Hall,1,4
New,1,4
York,1,4
New,1,4
York,1,4
New,1,4
York,1,4
New,1,4
York,1,4
West,1,4
53rd,1,4
Street,1,4
Alabama,1,4
Westchester,1,5
Antarctica,1,6
Lilypad,1,6
Antarctica,1,6
New,1,7
York,1,7
New,1,7
York,1,7
New,1,7
York,1,7
City,1,7
New,1,7
York,1,7
Bermuda,1,7
Roswell,1,7
New,1,7
Mexico,1,7
New,1,8
York,1,8
City,1,8
Queens,1,8
Lily,1,8
Shanghai,1,8
New,1,9
York,1,9
City,1,9
New,1,9
York,1,9
Minnesota,1,9
St,1,9
Minnesota,1,9
New,1,9
York,1,9
St,1,9
St,1,9
St,1,9
New,1,9
York,1,9
New,1,9
York,1,9
Manhattan,1,9
Brooklyn,1,9
St,1,9
Minnesota,1,9
Barney,1,10
New,1,11
York,1,11
City,1,11
Soviet,1,11
Republic,1,11
of,1,11
Drunk-Off-Her-Ass-Istan,1,11
Connecticut,1,11
New,1,11
York,1,11
Victoria,1,13
Victoria,1,13
Victoria,1,13
India,1,13
India,1,13
Victoria,1,13
Victoria,1,13
Sichuan,1,14
Garden,1,14
Amsterdam,1,14
Victoria,1,14
Victoria,1,14
Victoria,1,15
Gumdrop,1,15
Mountains,1,15
Nicaragua,1,15
Victoria,1,15
Victoria,1,15
Granola,1,16
Mountain,1,16
Earth,1,16
Pals,1,16
Germany,1,16
Germany,1,16
Europe,1,16
Europe,1,16
Germany,1,16
Germany,1,16
Epcot,1,16
Madrid,1,16
Tokyo,1,16
Denmark,1,16
Killarney,1,16
Paris,1,16
Victoria,1,16
America,1,16
Victoria,1,16
Paris,1,16
Victoria,1,16
Germany,1,16
Germany,1,16
Germany,1,16
Brooklyn,1,16
Bridge,1,16
