location,longitude,latitude
Las,0.3098676,43.4697786
Hogwarts,36.78411273,-1.24139975
Philadelphia,-75.1635262,39.9527237
Vietnam,108.4265113,13.2904027
K.E,121.04371,14.6295668
Montreal,-73.6103642,45.4972159
Lake,-122.7776556,39.0505411
Albuquerque,-106.6509851,35.0841034
Carlo,153.0984357,-25.913369
Hoboken,-74.0323752,40.7433066
Francisco,-87.7017658,41.9661531
Miranda,-66.416667,10.25
Ocean,-74.3319287,39.977818
Athabasca,-113.996434,55.1705421
Williamsburg,-76.69448606,37.27892105
Boheme,1.6729555,45.6196378
L.A.,13.0011564,52.8454307
Buffalo,-78.8783922,42.8867166
Queens,-73.7976337,40.7498243
Hammersmith,-0.2236401,51.4920377
Los,3.32078613,6.5739857
Valley,-98.9805484,41.5595723
Denver,-104.9848623,39.7392364
Fez,-5.0161926,34.0346534
Wawa,-84.7740199,47.9929283
County,-73.783892,2.8894434
Morse,-101.4766379,36.0612
Sudbury,-80.991211,46.49272
Baltics,-74.7910585,45.328499
Rica,24.4002662,47.8298061
Florida,-81.4639835,27.7567667
Chicoutimi,-71.12352614,48.3370248
Mental,-0.2045165,5.5624636
Honolulu,-157.8556764,21.304547
Cameroon,13.1535811,4.6125522
Italy,12.674297,42.6384261
Manatee,-82.3801566,27.5213933
Kansas,-98.5821872,38.27312
Ronkonkoma,-73.112333,40.8153761
Halifax,-63.5859487,44.648618
O'Hare,-87.90676789,41.97310105
Seattle,-122.3300624,47.6038321
Kappa,-89.007852,40.6758686
Kiddie,-74.02642911,40.7436614
Epcot,-81.54904536,28.3723638
China,104.999927,35.000074
Guelph,-80.2493276,43.5460516
Van,108.4265113,13.2904027
Wisconsin,-89.6884637,44.4308975
Mexico,-99.1331785,19.4326296
Red,-2.6463401,56.6859212
Marino,12.6586082,41.7697883
Marathon,-94.9824889,42.8616407
Chip,33.1451285,34.9823018
Pacific,-123.768029,46.5334929
Newfoundland,-56.69629621,49.12120935
Square,30.7433897,28.117915
Cafe,-41.57617475,-20.8586981
Winnipeg,-97.1384584,49.8955367
Crosby,-101.2855737,33.5778818
Australia,134.755,-24.7761086
Mclaren,-109.2967717,53.2775504
Allentown,-75.4712794,40.6022059
Bellmore,-73.52848529,40.6538126
Kashmir,75.39310005,34.9271029
